1 	 402 	 402 	 0.372
2 	 92 	 92 	 30.204
3 	 89 	 89 	 17.036
4 	 264 	 264 	 12.377
5 	 383 	 383 	 12.234
6 	 392 	 392 	 9.683
7 	 405 	 405 	 10.506
8 	 400 	 400 	 11.630
9 	 227 	 227 	 10.089
10 	 132 	 132 	 7.705
11 	 398 	 398 	 8.368
12 	 404 	 404 	 9.047
13 	 125 	 125 	 7.899
14 	 80 	 80 	 7.474
15 	 52 	 52 	 6.614
16 	 233 	 233 	 6.651
17 	 403 	 403 	 6.868
18 	 190 	 190 	 5.409
19 	 401 	 401 	 5.606
20 	 129 	 129 	 4.672
21 	 390 	 390 	 4.764
22 	 394 	 394 	 4.783
23 	 391 	 391 	 4.632
24 	 352 	 352 	 4.527
25 	 389 	 389 	 4.600
26 	 399 	 399 	 4.698
27 	 128 	 128 	 4.698
28 	 397 	 397 	 4.451
29 	 12 	 12 	 4.371
30 	 49 	 49 	 4.477
31 	 10 	 10 	 4.341
32 	 64 	 64 	 4.165
33 	 228 	 228 	 4.061
34 	 245 	 245 	 3.846
35 	 180 	 180 	 3.817
36 	 222 	 222 	 3.834
37 	 334 	 334 	 3.844
38 	 251 	 251 	 3.798
39 	 130 	 130 	 3.632
40 	 28 	 28 	 3.577
41 	 254 	 254 	 3.339
42 	 154 	 154 	 3.286
43 	 311 	 311 	 3.277
44 	 161 	 161 	 3.205
45 	 249 	 249 	 3.097
46 	 396 	 396 	 3.157
47 	 208 	 208 	 3.142
48 	 33 	 33 	 2.949
49 	 196 	 196 	 2.858
50 	 121 	 121 	 2.840
51 	 275 	 275 	 2.839
52 	 248 	 248 	 2.874
53 	 291 	 291 	 2.881
54 	 20 	 20 	 2.744
55 	 370 	 370 	 2.775
56 	 174 	 174 	 2.780
57 	 393 	 393 	 2.697
58 	 88 	 88 	 2.718
59 	 193 	 193 	 2.629
60 	 37 	 37 	 2.597
61 	 217 	 217 	 2.543
62 	 244 	 244 	 2.504
63 	 388 	 388 	 2.432
64 	 131 	 131 	 2.463
65 	 48 	 48 	 2.450
66 	 166 	 166 	 2.419
67 	 194 	 194 	 2.434
68 	 96 	 96 	 2.419
69 	 263 	 263 	 2.424
70 	 40 	 40 	 2.366
71 	 181 	 181 	 2.278
72 	 395 	 395 	 2.297
73 	 225 	 225 	 2.273
74 	 11 	 11 	 2.256
75 	 29 	 29 	 2.233
76 	 307 	 307 	 2.243
77 	 205 	 205 	 2.166
78 	 256 	 256 	 2.124
79 	 212 	 212 	 2.125
80 	 90 	 90 	 2.090
81 	 57 	 57 	 2.071
82 	 120 	 120 	 2.062
83 	 169 	 169 	 2.059
84 	 67 	 67 	 2.083
85 	 242 	 242 	 2.060
86 	 63 	 63 	 2.041
87 	 185 	 185 	 2.005
88 	 351 	 351 	 2.005
89 	 77 	 77 	 1.985
90 	 9 	 9 	 1.995
91 	 142 	 142 	 1.922
92 	 221 	 221 	 1.886
93 	 253 	 253 	 1.877
94 	 224 	 224 	 1.862
95 	 32 	 32 	 1.773
96 	 163 	 163 	 1.783
97 	 143 	 143 	 1.687
98 	 210 	 210 	 1.592
99 	 325 	 325 	 1.604
100 	 241 	 241 	 1.583
101 	 260 	 260 	 1.587
102 	 137 	 137 	 1.566
103 	 94 	 94 	 1.573
104 	 167 	 167 	 1.522
105 	 144 	 144 	 1.531
106 	 3 	 3 	 1.530
107 	 158 	 158 	 1.522
108 	 280 	 280 	 1.528
109 	 22 	 22 	 1.518
110 	 192 	 192 	 1.529
111 	 145 	 145 	 1.463
112 	 116 	 116 	 1.464
113 	 177 	 177 	 1.471
114 	 300 	 300 	 1.474
115 	 267 	 267 	 1.476
116 	 357 	 357 	 1.438
117 	 35 	 35 	 1.450
118 	 123 	 123 	 1.432
119 	 13 	 13 	 1.409
120 	 191 	 191 	 1.391
121 	 41 	 41 	 1.391
122 	 385 	 385 	 1.384
123 	 59 	 59 	 1.365
124 	 113 	 113 	 1.344
125 	 99 	 99 	 1.338
126 	 112 	 112 	 1.336
127 	 313 	 313 	 1.337
128 	 348 	 348 	 1.333
129 	 164 	 164 	 1.341
130 	 61 	 61 	 1.305
131 	 330 	 330 	 1.298
132 	 270 	 270 	 1.279
133 	 252 	 252 	 1.280
134 	 24 	 24 	 1.253
135 	 186 	 186 	 1.251
136 	 97 	 97 	 1.218
137 	 364 	 364 	 1.213
138 	 62 	 62 	 1.201
139 	 346 	 346 	 1.202
140 	 214 	 214 	 1.186
141 	 73 	 73 	 1.165
142 	 76 	 76 	 1.167
143 	 139 	 139 	 1.172
144 	 150 	 150 	 1.149
145 	 310 	 310 	 1.142
146 	 201 	 201 	 1.123
147 	 159 	 159 	 1.108
148 	 268 	 268 	 1.098
149 	 324 	 324 	 1.095
150 	 206 	 206 	 1.096
151 	 387 	 387 	 1.088
152 	 16 	 16 	 1.084
153 	 102 	 102 	 1.053
154 	 261 	 261 	 1.056
155 	 378 	 378 	 1.025
156 	 100 	 100 	 1.026
157 	 86 	 86 	 1.022
158 	 369 	 369 	 0.993
159 	 103 	 103 	 0.998
160 	 274 	 274 	 0.966
161 	 44 	 44 	 0.965
162 	 138 	 138 	 0.951
163 	 93 	 93 	 0.947
164 	 279 	 279 	 0.934
165 	 331 	 331 	 0.908
166 	 105 	 105 	 0.891
167 	 36 	 36 	 0.856
168 	 43 	 43 	 0.854
169 	 31 	 31 	 0.846
170 	 276 	 276 	 0.848
171 	 309 	 309 	 0.852
172 	 321 	 321 	 0.845
173 	 199 	 199 	 0.844
174 	 240 	 240 	 0.843
175 	 298 	 298 	 0.835
176 	 246 	 246 	 0.836
177 	 314 	 314 	 0.840
178 	 234 	 234 	 0.825
179 	 243 	 243 	 0.819
180 	 384 	 384 	 0.811
181 	 269 	 269 	 0.811
182 	 328 	 328 	 0.802
183 	 75 	 75 	 0.785
184 	 232 	 232 	 0.783
185 	 187 	 187 	 0.783
186 	 101 	 101 	 0.786
187 	 237 	 237 	 0.783
188 	 55 	 55 	 0.774
189 	 373 	 373 	 0.775
190 	 306 	 306 	 0.777
191 	 140 	 140 	 0.780
192 	 69 	 69 	 0.774
193 	 68 	 68 	 0.764
194 	 235 	 235 	 0.743
195 	 231 	 231 	 0.745
196 	 316 	 316 	 0.742
197 	 273 	 273 	 0.744
198 	 198 	 198 	 0.742
199 	 173 	 173 	 0.737
