1 	 1091 	 1091 	 0.159
2 	 959 	 959 	 38.412
3 	 822 	 822 	 22.426
4 	 735 	 735 	 19.318
5 	 234 	 234 	 22.283
6 	 722 	 722 	 23.845
7 	 227 	 227 	 24.090
8 	 868 	 868 	 21.075
9 	 230 	 230 	 22.360
10 	 1087 	 1087 	 19.184
11 	 1096 	 1096 	 20.282
12 	 377 	 377 	 19.121
13 	 41 	 41 	 17.829
14 	 472 	 472 	 18.508
15 	 1093 	 1093 	 16.970
16 	 456 	 456 	 15.338
17 	 410 	 410 	 15.245
18 	 1084 	 1084 	 15.439
19 	 235 	 235 	 15.975
20 	 373 	 373 	 14.975
21 	 692 	 692 	 13.854
22 	 233 	 233 	 14.092
23 	 674 	 674 	 14.002
24 	 310 	 310 	 14.047
25 	 915 	 915 	 13.616
26 	 501 	 501 	 13.204
27 	 1080 	 1080 	 13.606
28 	 823 	 823 	 13.437
29 	 844 	 844 	 13.830
30 	 1088 	 1088 	 13.907
31 	 238 	 238 	 13.869
32 	 72 	 72 	 13.440
33 	 228 	 228 	 13.500
34 	 297 	 297 	 12.977
35 	 807 	 807 	 12.364
36 	 226 	 226 	 12.285
37 	 142 	 142 	 12.310
38 	 1094 	 1094 	 12.174
39 	 460 	 460 	 12.047
40 	 168 	 168 	 11.962
41 	 175 	 175 	 12.068
42 	 338 	 338 	 12.160
43 	 502 	 502 	 12.317
44 	 775 	 775 	 12.079
45 	 555 	 555 	 12.052
46 	 453 	 453 	 11.884
47 	 469 	 469 	 11.933
48 	 1092 	 1092 	 12.062
49 	 553 	 553 	 11.724
50 	 872 	 872 	 11.715
51 	 1089 	 1089 	 11.430
52 	 751 	 751 	 11.072
53 	 337 	 337 	 11.110
54 	 728 	 728 	 11.085
55 	 397 	 397 	 11.029
56 	 489 	 489 	 10.978
57 	 309 	 309 	 10.837
58 	 624 	 624 	 10.329
59 	 1072 	 1072 	 10.415
60 	 1097 	 1097    10.377
61 	 769 	 769 	 10.054
62 	 865 	 865 	 9.792
63 	 43 	 43 	 9.819
64 	 239 	 239 	 9.289
65 	 1090 	 1090 	 9.349
66 	 54 	 54 	 9.367
67 	 430 	 430 	 9.142
68 	 432 	 432 	 8.986
69 	 166 	 166 	 9.034
70 	 363 	 363 	 8.947
71 	 725 	 725 	 8.835
72 	 550 	 550 	 8.794
73 	 654 	 654 	 8.758
74 	 504 	 504 	 8.607
75 	 536 	 536 	 8.592
76 	 645 	 645 	 8.628
77 	 216 	 216 	 8.479
78 	 938 	 938 	 8.366
79 	 231 	 231 	 8.362
80 	 1082 	 1082 	 8.434
81 	 813 	 813 	 8.492
82 	 1015 	 1015 	 8.416
83 	 653 	 653 	 8.340
84 	 847 	 847 	 8.331
85 	 280 	 280 	 8.313
86 	 1026 	 1026 	 8.375
87 	 918 	 918 	 8.100
88 	 1085 	 1085 	 7.949
89 	 655 	 655 	 7.963
90 	 79 	 79 	 7.986
91 	 329 	 329 	 8.040
92 	 335 	 335 	 7.980
93 	 247 	 247 	 7.857
94 	 256 	 256 	 7.875
95 	 55 	 55 	 7.632
96 	 1095 	 1095 	 7.603
97 	 463 	 463 	 7.485
98 	 223 	 223 	 7.406
99 	 817 	 817 	 7.390
100 	 686 	 686 	 7.318
101 	 112 	 112 	 7.332
102 	 271 	 271 	 7.390
103 	 563 	 563 	 7.299
104 	 911 	 911 	 7.304
105 	 274 	 274 	 7.244
106 	 652 	 652 	 7.201
107 	 435 	 435 	 7.161
108 	 608 	 608 	 7.185
109 	 910 	 910 	 7.221
110 	 768 	 768 	 7.210
111 	 843 	 843 	 6.956
112 	 265 	 265 	 6.987
113 	 162 	 162 	 6.869
114 	 591 	 591 	 6.864
115 	 528 	 528 	 6.750
116 	 188 	 188 	 6.781
117 	 863 	 863 	 6.796
118 	 49 	 49 	 6.692
119 	 191 	 191 	 6.630
120 	 267 	 267 	 6.499
121 	 720 	 720 	 6.432
122 	 607 	 607 	 6.359
123 	 548 	 548 	 6.363
124 	 805 	 805 	 6.284
125 	 1081 	 1081 	 6.304
126 	 124 	 124 	 6.314
127 	 816 	 816 	 6.294
128 	 681 	 681 	 6.205
129 	 1052 	 1052 	 6.218
130 	 554 	 554 	 6.213
131 	 934 	 934 	 6.162
132 	 163 	 163 	 6.078
